Domain,Type,Datasets,Metrics,Bert,Biobert,SciBert,RoBerta,Albert,TweetBert v1(pretrained from bert)OUR,TweetBert v2(pretrained from SciBert using Albert ) OUR,ΔMP from bert of Tv1 (%),ΔMP from biobert of Tv1 (%),ΔMP from Scibert of Tv1 (%),ΔMP from Robert of Tv1 (%),ΔMP from Albert of Tv1 (%),ΔMP from bert of Tv2 (%),ΔMP from biobert of Tv2 (%),ΔMP from Scibert of Tv2(%),ΔMP from Robert of Tv2 (%),ΔMP from Albert of Tv2 (%)
Scientific,Text Classification,paper feild,A,55.06,56.22,65.71,63.48,62.85,58.12,66.49,6.809078772,4.339881224,-22.13473316,-14.67688938,-12.73216689,25.43391188,23.45820009,2.274715661,8.242059146,9.798115747
,,sci-cite,A,84.33,85.11,85.42,87.16,86.68,88.5,88.56,26.61135929,22.76695769,21.12482853,10.43613707,13.66366366,26.99425654,23.16991269,21.53635117,10.90342679,14.11411411
,,scie-relation-extraction,A,63.55,65.42,65.77,66.79,68.46,68.85,66.82,14.54046639,9.91902834,8.99795501,6.202950918,1.236525048,8.971193416,4.048582996,3.067484663,0.09033423668,-5.199746354
,parsing,genia,A,64.81,67.71,72.3,76.95,78.45,67.98,70,9.008240978,0.8361721895,-15.59566787,-38.9154013,-48.58468677,14.7485081,7.091978941,-8.303249097,-30.15184382,-39.21113689
,,,,,,,,,,,56.96914543,37.86203944,-7.607617486,-36.95320269,-46.41666495,76.14786994,57.76867472,18.57530239,-10.91602364,-20.49865338
,,,,,,,,,,,,,,,,,,,,
Twitter,Sentiment Analysis,Twitter US Airline Sentiment,A,85.2,84.17,82.73,88.68,87.08,89,92.99,25.67567568,30.51168667,36.30573248,2.826855124,14.86068111,52.63513514,55.71699305,59.40938043,38.07420495,45.74303406
,Classification,Twitter User Gender Classification,A,80.65,80.22,77.23,80.74,82.22,85.02,89.75,22.58397933,24.2669363,34.21168204,22.22222222,15.7480315,47.02842377,48.17997978,54.9846289,46.78089304,42.35095613
,,Sentiment140,A,85.63,87.84,82.29,86.71,90.59,92.74,95.18,49.47807933,40.29605263,59.00621118,45.3724605,22.84803401,66.4578984,60.36184211,72.783738,63.73212942,48.77789586
,,Atharva's dataset,A,69.99,69.34,64.66,72.01,69.57,75.13,78.79,17.12762413,18.88454012,29.62648557,11.14683816,18.27144266,29.32355881,30.82191781,39.98302207,24.22293676,30.29904699
,,,,,,,,,,,114.8653585,113.9592157,159.1501113,81.568376,71.72818927,195.4450161,195.0807327,227.1607694,172.8101642,167.170933
Overall Rank,,,,0,0,1,10,13,9,13,,,,,,,,,,
2nd overall Rank,,,,,,,,,,,,,,,,,,,,
